dat,artist,musicbrainz_url,title,album,label,year,country
2014.09.18,1,http://musicbrainz.org/artist/b476bc5e-19ca-4e5a-82c8-1a068d601a7d,Fog,Drift,Alpha Pup Records,2009,USA
2014.09.18,2,http://musicbrainz.org/artist/84a5c934-8318-4080-8606-32b80e1b054a,Pop Song,Pop Music / False B-Sides,self-released / anticon,2011,USA
2014.09.18,2,http://musicbrainz.org/artist/7754905b-8bf7-48e2-935a-03d566fec464,Berlin,Moderat,BPitch Control,2009,Germany
2014.09.18,2,http://musicbrainz.org/artist/3bcff06f-675a-451f-9075-99e8657047e8,You Were There With Me,Everything Ecstatic,Domino,2005,England
2014.09.18,3,http://musicbrainz.org/artist/0b0c25f4-f31c-46a5-a4fb-ccbf53d663bd,Immunity,Immunity,Domino,2013,England
irregular: needs manual input
2014.09.18,4,http://musicbrainz.org/artist/f7df5df4-4dfa-459d-972b-1ba051c15ddc,Memories From When I Grew Up,Remixes,Rabid Records,2009,Sweden / Sweden
2014.09.18,4,http://musicbrainz.org/artist/bfbccd40-1a06-4ee7-b24d-b2f8cc714fa9,An Iceberg Hurled Northward Through Clouds,DJ-Kicks: Gold Panda,!K7,2011,England
2014.09.18,4,http://musicbrainz.org/artist/735e3514-a8ae-401f-af3b-6300df1b8d2c,Bowls,Swim,City Slang,2010,Canada
2014.09.18,5,http://musicbrainz.org/artist/1ef2bd54-9610-40ba-87dd-c195828411a9,Wolkenbruch,Schöne neue Extrawelt,Cocoon Recordings,2008,Germany
irregular: needs manual input
irregular: needs manual input
2014.09.25,The Notwist,http://musicbrainz.org/artist/f180cec2-9421-4417-a841-c7372090d13d,Pick Up the Phone,Neon Golden,City Slang,2002,Germany
2014.09.25,Nozinja,http://musicbrainz.org/artist/67081c57-6fbe-4ecb-8f30-e161b62557ae,Tsekeleke,Tsekeleke,Warp,2014,South Africa
2014.09.25,Mikael Seif,,Tuff Ruff,Psycho Animus / Tuff Ruff ,1432r,2014,Ethiopia
2014.09.25,Neeva,http://musicbrainz.org/artist/74a659d4-afbc-41f3-9776-b4584f5fe1cd,Then,One of a Kind,On2Sides,2013,Italy
2014.09.25,reSet Sakrecoer,http://musicbrainz.org/artist/6f412e06-0a2b-4cca-9623-9fb9ca950e5e,Xmas Bowie,?,?,?,Switzerland / Sweden) {[listen to more](http://sakrecoer.com/assets/mu/files/
2014.09.25,reSet Sakrecoer,http://musicbrainz.org/artist/6f412e06-0a2b-4cca-9623-9fb9ca950e5e,The Wall,?,?,?,Switzerland / Sweden
2014.09.25,Aphex Twin,http://musicbrainz.org/artist/f22942a1-6f70-4f48-866e-238cb2308fbd,Produk 29,Syro,Warp,2014,Ireland / England
2014.10.02,Pivixki,http://musicbrainz.org/artist/57cf79d1-50a2-4b8d-ad01-c24193a47a2f,Flail,Gravissima,Lexicon Devil,2010,Australia
